frame,time_s,R,G,B
0,0,0.280951300264369,0.280951300264369,0.280951300264369
1,0.0166666666666667,0.280951300264369,0.280951300264369,0.280951300264369
2,0.0333333333333333,0.280951300264369,0.280951300264369,0.280951300264369
3,0.05,0.280951300264369,0.280951300264369,0.280951300264369
4,0.0666666666666667,0.280951300264369,0.280951300264369,0.280951300264369
5,0.0833333333333333,0.280951300264369,0.280951300264369,0.280951300264369
6,0.1,0.225101819029001,0.225101819029001,0.225101819029001
7,0.116666666666667,0.225101819029001,0.225101819029001,0.225101819029001
8,0.133333333333333,0.225101819029001,0.225101819029001,0.225101819029001
9,0.15,0.225101819029001,0.225101819029001,0.225101819029001
10,0.166666666666667,0.225101819029001,0.225101819029001,0.225101819029001
11,0.183333333333333,0.225101819029001,0.225101819029001,0.225101819029001
12,0.2,1,1,1
13,0.216666666666667,1,1,1
14,0.233333333333333,1,1,1
15,0.25,1,1,1
16,0.266666666666667,1,1,1
17,0.283333333333333,1,1,1
18,0.3,0.25387894124069,0.25387894124069,0.25387894124069
19,0.316666666666667,0.25387894124069,0.25387894124069,0.25387894124069
20,0.333333333333333,0.25387894124069,0.25387894124069,0.25387894124069
21,0.35,0.25387894124069,0.25387894124069,0.25387894124069
22,0.366666666666667,0.25387894124069,0.25387894124069,0.25387894124069
23,0.383333333333333,0.25387894124069,0.25387894124069,0.25387894124069
24,0.4,0.44098659864381,0.44098659864381,0.44098659864381
25,0.416666666666667,0.44098659864381,0.44098659864381,0.44098659864381
26,0.433333333333333,0.44098659864381,0.44098659864381,0.44098659864381
27,0.45,0.44098659864381,0.44098659864381,0.44098659864381
28,0.466666666666667,0.44098659864381,0.44098659864381,0.44098659864381
29,0.483333333333333,0.44098659864381,0.44098659864381,0.44098659864381
30,0.5,0.232956877409477,0.232956877409477,0.232956877409477
31,0.516666666666667,0.232956877409477,0.232956877409477,0.232956877409477
32,0.533333333333333,0.232956877409477,0.232956877409477,0.232956877409477
33,0.55,0.232956877409477,0.232956877409477,0.232956877409477
34,0.566666666666667,0.232956877409477,0.232956877409477,0.232956877409477
35,0.583333333333333,0.232956877409477,0.232956877409477,0.232956877409477
36,0.6,0.773224584088426,0.773224584088426,0.773224584088426
37,0.616666666666667,0.773224584088426,0.773224584088426,0.773224584088426
38,0.633333333333333,0.773224584088426,0.773224584088426,0.773224584088426
39,0.65,0.773224584088426,0.773224584088426,0.773224584088426
40,0.666666666666667,0.773224584088426,0.773224584088426,0.773224584088426
41,0.683333333333333,0.773224584088426,0.773224584088426,0.773224584088426
42,0.7,0.496320425056902,0.496320425056902,0.496320425056902
43,0.716666666666667,0.496320425056902,0.496320425056902,0.496320425056902
44,0.733333333333333,0.496320425056902,0.496320425056902,0.496320425056902
45,0.75,0.496320425056902,0.496320425056902,0.496320425056902
46,0.766666666666667,0.496320425056902,0.496320425056902,0.496320425056902
47,0.783333333333333,0.496320425056902,0.496320425056902,0.496320425056902
48,0.8,0.521844344713425,0.521844344713425,0.521844344713425
49,0.816666666666667,0.521844344713425,0.521844344713425,0.521844344713425
50,0.833333333333333,0.521844344713425,0.521844344713425,0.521844344713425
51,0.85,0.521844344713425,0.521844344713425,0.521844344713425
52,0.866666666666667,0.521844344713425,0.521844344713425,0.521844344713425
53,0.883333333333333,0.521844344713425,0.521844344713425,0.521844344713425
54,0.9,0.781824892471308,0.781824892471308,0.781824892471308
55,0.916666666666667,0.781824892471308,0.781824892471308,0.781824892471308
56,0.933333333333333,0.781824892471308,0.781824892471308,0.781824892471308
57,0.95,0.781824892471308,0.781824892471308,0.781824892471308
58,0.966666666666667,0.781824892471308,0.781824892471308,0.781824892471308
59,0.983333333333333,0.781824892471308,0.781824892471308,0.781824892471308
60,1,0.702571201514375,0.702571201514375,0.702571201514375
61,1.01666666666667,0.702571201514375,0.702571201514375,0.702571201514375
62,1.03333333333333,0.702571201514375,0.702571201514375,0.702571201514375
63,1.05,0.702571201514375,0.702571201514375,0.702571201514375
64,1.06666666666667,0.702571201514375,0.702571201514375,0.702571201514375
65,1.08333333333333,0.702571201514375,0.702571201514375,0.702571201514375
66,1.1,0.735790557223996,0.735790557223996,0.735790557223996
67,1.11666666666667,0.735790557223996,0.735790557223996,0.735790557223996
68,1.13333333333333,0.735790557223996,0.735790557223996,0.735790557223996
69,1.15,0.735790557223996,0.735790557223996,0.735790557223996
70,1.16666666666667,0.735790557223996,0.735790557223996,0.735790557223996
71,1.18333333333333,0.735790557223996,0.735790557223996,0.735790557223996
72,1.2,0,0,0
73,1.21666666666667,0,0,0
74,1.23333333333333,0,0,0
75,1.25,0,0,0
